File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,
11250098.JPG,NPR2-2017-11-21-end\100EK113,NPR2,25-Nov-2017,09:20:58,Ok,false,Sunny,false,true,22,false,Baboon,
11290202.JPG,NPR2-2017-11-21-end\100EK113,NPR2,29-Nov-2017,09:46:58,Ok,false,Sunny,false,true,23,false,Bird,
12010268.JPG,NPR2-2017-11-21-end\100EK113,NPR2,01-Dec-2017,23:23:16,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE,Unidentified,
12030299.JPG,NPR2-2017-11-21-end\100EK113,NPR2,03-Dec-2017,05:12:00,Dark,FALSE,Shade,FALSE,TRUE,10,FALSE,Steenbok,
12040325.JPG,NPR2-2017-11-21-end\100EK113,NPR2,04-Dec-2017,05:47:23,Ok,false,Shade,false,true,15,false,Baboon,
12040333.JPG,NPR2-2017-11-21-end\100EK113,NPR2,04-Dec-2017,12:44:13,Ok,false,Sunny,false,true,35,false,Unidentified,
12060377.JPG,NPR2-2017-11-21-end\100EK113,NPR2,06-Dec-2017,05:36:18,Dark,FALSE,Shade,FALSE,TRUE,10,FALSE,Steenbok,
12060386.JPG,NPR2-2017-11-21-end\100EK113,NPR2,06-Dec-2017,13:16:29,Ok,false,Sunny,false,true,36,false,Baboon,
12060390.JPG,NPR2-2017-11-21-end\100EK113,NPR2,06-Dec-2017,16:20:57,Ok,false,Sunny,false,true,43,false,Baboon,
12070409.JPG,NPR2-2017-11-21-end\100EK113,NPR2,07-Dec-2017,09:32:56,Ok,false,Sunny,false,true,31,false,Baboon,
12080431.JPG,NPR2-2017-11-21-end\100EK113,NPR2,08-Dec-2017,06:22:46,Ok,false,Shade,false,true,17,false,Jackal,
12110515.JPG,NPR2-2017-11-21-end\100EK113,NPR2,11-Dec-2017,11:46:32,Ok,false,Sunny,false,true,31,false,Baboon,
12140601.JPG,NPR2-2017-11-21-end\100EK113,NPR2,14-Dec-2017,14:40:29,Ok,false,Sunny,false,true,35,false,Baboon,
12140606.JPG,NPR2-2017-11-21-end\100EK113,NPR2,14-Dec-2017,18:33:21,Dark,FALSE,Shade,FALSE,TRUE,26,FALSE,Steenbok,
12140609.JPG,NPR2-2017-11-21-end\100EK113,NPR2,14-Dec-2017,20:43:01,Dark,FALSE,Dark,FALSE,TRUE,15,false,Steenbok,
12160642.JPG,NPR2-2017-11-21-end\100EK113,NPR2,16-Dec-2017,04:37:11,Dark,FALSE,Dark,FALSE,TRUE,11,FALSE,Steenbok,
12160646.JPG,NPR2-2017-11-21-end\100EK113,NPR2,16-Dec-2017,08:00:01,Ok,false,Sunny,false,true,22,false,Baboon,
12160647.JPG,NPR2-2017-11-21-end\100EK113,NPR2,16-Dec-2017,08:00:42,Ok,false,Sunny,false,true,22,false,Baboon,
12180704.JPG,NPR2-2017-11-21-end\100EK113,NPR2,18-Dec-2017,16:55:40,Ok,false,Shade,false,true,27,false,Baboon,
12190723.JPG,NPR2-2017-11-21-end\100EK113,NPR2,19-Dec-2017,10:26:49,Ok,false,Sunny,false,true,25,false,Baboon,
12200741.JPG,NPR2-2017-11-21-end\100EK113,NPR2,20-Dec-2017,03:44:49,Dark,FALSE,Dark,FALSE,TRUE,8,FALSE,Unidentified,
12200748.JPG,NPR2-2017-11-21-end\100EK113,NPR2,20-Dec-2017,09:45:01,Ok,false,Sunny,false,true,26,false,Baboon,
12200750.JPG,NPR2-2017-11-21-end\100EK113,NPR2,20-Dec-2017,10:20:26,Ok,false,Sunny,false,true,27,false,Baboon,
12210772.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Dec-2017,07:02:02,Ok,false,Sunny,false,true,20,false,Cattle,
12220810.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Dec-2017,19:55:08,Dark,FALSE,Dark,FALSE,TRUE,21,FALSE,Steenbok,
12240850.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Dec-2017,09:15:35,Ok,false,Sunny,false,true,26,false,Baboon,
12250872.JPG,NPR2-2017-11-21-end\100EK113,NPR2,25-Dec-2017,06:39:57,Ok,false,Shade,false,true,15,false,Baboon,
12250874.JPG,NPR2-2017-11-21-end\100EK113,NPR2,25-Dec-2017,07:14:45,Dark,FALSE,Shade,FALSE,TRUE,15,FALSE,Baboon,
12260896.JPG,NPR2-2017-11-21-end\100EK113,NPR2,26-Dec-2017,04:52:34,Dark,FALSE,Dark,FALSE,TRUE,6,FALSE,Unidentified,
12260898.JPG,NPR2-2017-11-21-end\100EK113,NPR2,26-Dec-2017,06:00:01,Dark,FALSE,Shade,FALSE,TRUE,6,FALSE,Cattle,
12260899.JPG,NPR2-2017-11-21-end\100EK113,NPR2,26-Dec-2017,06:02:23,Ok,false,Shade,false,true,6,false,Cattle,
12280948.JPG,NPR2-2017-11-21-end\100EK113,NPR2,28-Dec-2017,05:05:14,Ok,false,Shade,false,true,15,false,Steenbok,
12290978.JPG,NPR2-2017-11-21-end\100EK113,NPR2,29-Dec-2017,08:02:44,Ok,false,Sunny,false,true,22,false,Baboon,
12300004.JPG,NPR2-2017-11-21-end\101EK113,NPR2,30-Dec-2017,07:01:52,Ok,false,Sunny,false,true,20,false,Cattle,
12310036.JPG,NPR2-2017-11-21-end\101EK113,NPR2,31-Dec-2017,13:46:58,Ok,false,Sunny,false,true,46,false,Baboon,
01010051.JPG,NPR2-2017-11-21-end\101EK113,NPR2,01-Jan-2018,02:29:16,Dark,FALSE,Dark,FALSE,TRUE,16,FALSE,Unidentified,
01020085.JPG,NPR2-2017-11-21-end\101EK113,NPR2,02-Jan-2018,09:24:27,Ok,false,Sunny,false,true,23,false,Cattle,
01020100.JPG,NPR2-2017-11-21-end\101EK113,NPR2,02-Jan-2018,21:33:08,Dark,FALSE,Dark,FALSE,TRUE,16,FALSE,Steenbok,
01040142.JPG,NPR2-2017-11-21-end\101EK113,NPR2,04-Jan-2018,11:23:09,Ok,false,Sunny,false,true,41,false,Baboon,
01050162.JPG,NPR2-2017-11-21-end\101EK113,NPR2,05-Jan-2018,06:21:26,Dark,FALSE,Shade,FALSE,TRUE,17,FALSE,Baboon,
01050164.JPG,NPR2-2017-11-21-end\101EK113,NPR2,05-Jan-2018,07:22:30,Ok,false,Sunny,false,true,22,false,Baboon,
01050166.JPG,NPR2-2017-11-21-end\101EK113,NPR2,05-Jan-2018,08:13:23,Ok,false,Sunny,false,true,23,false,Bird,
01050167.JPG,NPR2-2017-11-21-end\101EK113,NPR2,05-Jan-2018,09:00:02,Ok,false,Sunny,false,true,26,false,Baboon,
01050168.JPG,NPR2-2017-11-21-end\101EK113,NPR2,05-Jan-2018,09:06:06,Ok,false,Sunny,false,true,26,false,Baboon,
01050169.JPG,NPR2-2017-11-21-end\101EK113,NPR2,05-Jan-2018,10:00:01,Ok,false,Sunny,false,true,30,false,Baboon,
01050170.JPG,NPR2-2017-11-21-end\101EK113,NPR2,05-Jan-2018,10:00:15,Ok,false,Sunny,false,true,30,false,Baboon,
01060201.JPG,NPR2-2017-11-21-end\101EK113,NPR2,06-Jan-2018,14:35:20,Ok,false,Sunny,false,true,42,false,Baboon,
01060202.JPG,NPR2-2017-11-21-end\101EK113,NPR2,06-Jan-2018,15:00:01,Ok,false,Sunny,false,true,42,false,Baboon,
01060203.JPG,NPR2-2017-11-21-end\101EK113,NPR2,06-Jan-2018,15:00:17,Ok,false,Sunny,false,true,42,false,Baboon,
01070227.JPG,NPR2-2017-11-21-end\101EK113,NPR2,07-Jan-2018,14:49:13,Ok,false,Sunny,false,true,46,false,Baboon,
01100315.JPG,NPR2-2017-11-21-end\101EK113,NPR2,10-Jan-2018,20:10:49,Dark,FALSE,Dark,FALSE,TRUE,23,FALSE,Cattle,
01110326.JPG,NPR2-2017-11-21-end\101EK113,NPR2,11-Jan-2018,05:00:03,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE,Cattle,
01120358.JPG,NPR2-2017-11-21-end\101EK113,NPR2,12-Jan-2018,11:08:33,Ok,false,Sunny,false,true,37,false,Baboon,
01130377.JPG,NPR2-2017-11-21-end\101EK113,NPR2,13-Jan-2018,05:06:48,Dark,FALSE,Dark,FALSE,TRUE,13,FALSE,Bird,
01130380.JPG,NPR2-2017-11-21-end\101EK113,NPR2,13-Jan-2018,07:28:04,Ok,false,Sunny,false,true,21,false,Baboon,
01160460.JPG,NPR2-2017-11-21-end\101EK113,NPR2,16-Jan-2018,07:08:28,Ok,false,Sunny,false,true,15,false,Baboon,
01170489.JPG,NPR2-2017-11-21-end\101EK113,NPR2,17-Jan-2018,10:28:32,Ok,false,Sunny,false,true,27,false,Bird,
01170492.JPG,NPR2-2017-11-21-end\101EK113,NPR2,17-Jan-2018,12:11:15,Ok,false,Sunny,false,true,33,false,Kudu,
01180514.JPG,NPR2-2017-11-21-end\101EK113,NPR2,18-Jan-2018,09:47:26,Ok,false,Sunny,false,true,30,false,Baboon,
01180515.JPG,NPR2-2017-11-21-end\101EK113,NPR2,18-Jan-2018,10:00:03,Ok,false,Sunny,false,true,30,false,Baboon,
01180516.JPG,NPR2-2017-11-21-end\101EK113,NPR2,18-Jan-2018,10:00:15,Ok,false,Sunny,false,true,30,false,Baboon,
01180528.JPG,NPR2-2017-11-21-end\101EK113,NPR2,18-Jan-2018,19:55:03,Dark,FALSE,Dark,FALSE,TRUE,23,FALSE,Cattle,
01200583.JPG,NPR2-2017-11-21-end\101EK113,NPR2,20-Jan-2018,19:46:49,Dark,FALSE,Shade,FALSE,TRUE,20,FALSE,Kudu,
01220613.JPG,NPR2-2017-11-21-end\101EK113,NPR2,22-Jan-2018,00:55:30,Dark,FALSE,Dark,FALSE,TRUE,20,FALSE,Unidentified,
01220622.JPG,NPR2-2017-11-21-end\101EK113,NPR2,22-Jan-2018,07:46:16,Ok,false,Shade,false,true,23,false,Baboon,
01220627.JPG,NPR2-2017-11-21-end\101EK113,NPR2,22-Jan-2018,11:15:03,Ok,false,Sunny,false,true,36,false,Baboon,
01280772.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-2018,07:16:56,Ok,FALSE,Shade,TRUE,true,20,FALSE,Baboon,
01280773.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-2018,08:00:02,Ok,FALSE,Shade,TRUE,true,21,FALSE,Cattle,
01280774.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-2018,08:00:16,Ok,FALSE,Shade,TRUE,true,21,FALSE,Cattle,
01280780.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-2018,11:20:56,Ok,FALSE,Sunny,TRUE,true,30,FALSE,Cattle,
01280782.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-2018,12:26:20,Ok,FALSE,Sunny,TRUE,true,35,FALSE,Baboon,
01280783.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-2018,13:00:02,Ok,FALSE,Sunny,TRUE,true,37,FALSE,Baboon,
