Month,NPR1,NPR2,NPR3
Apr-17,0,3,2
May-17,5,3,2
Jun-17,5,4,4
Jul-17,5,5,3
Aug-17,4,3,1
Sep-17,3,4,2
Oct-17,5,5,3
Nov-17,4,2,2
Dec-17,4,4,4
Jan-18,4,4,5
Feb-18,5,5,5
Mar-18,5,5,5
Apr-18,4,4,3
May-18,4,4,4
Jun-18,2,5,3
