File,RelativePath,Folder,Date,Date1,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment
04200014.JPG,NPR2,April to June,20-Apr-17,April,23:49:52,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Unidentified
04210020.JPG,NPR2,April to June,21-Apr-17,April,4:25:20,Dark,FALSE,Dark,FALSE,TRUE,8,FALSE,Cattle
04250128.JPG,NPR2,April to June,25-Apr-17,April,7:05:35,Ok,FALSE,Shade,FALSE,TRUE,5,FALSE,Caracal
04250140.JPG,NPR2,April to June,25-Apr-17,April,18:06:52,Ok,FALSE,Sunny,FALSE,TRUE,22,FALSE,Steenbok
04260147.JPG,NPR2,April to June,26-Apr-17,April,0:26:33,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Unidentified
04280207.JPG,NPR2,April to June,28-Apr-17,April,11:52:59,Ok,FALSE,Sunny,FALSE,TRUE,27,FALSE,Unidentified
05130579.JPG,NPR2,April to June,13-May-17,May,16:27:13,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE,African Wild Cat
05140589.JPG,NPR2,April to June,14-May-17,May,1:09:13,Dark,FALSE,Dark,FALSE,TRUE,2,FALSE,Unidentified
05150624.JPG,NPR2,April to June,15-May-17,May,11:09:41,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE,Cattle
05220796.JPG,NPR2,April to June,22-May-17,May,10:50:57,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE,Baboon
05220800.JPG,NPR2,April to June,22-May-17,May,13:50:18,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE,Baboon
05230824.JPG,NPR2,April to June,23-May-17,May,12:23:52,Ok,FALSE,Sunny,FALSE,TRUE,27,FALSE,Cattle
05260887.JPG,NPR2,April to June,26-May-17,May,1:21:43,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Unidentified
05290963.JPG,NPR2,April to June,29-May-17,May,3:22:51,Dark,FALSE,Dark,FALSE,TRUE,3,FALSE,Unidentified
06010049.JPG,NPR2,April to June,01-Jun-17,June,14:22:27,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE,Baboon
06040121.JPG,NPR2,April to June,04-Jun-17,June,13:39:51,Ok,FALSE,Sunny,FALSE,TRUE,22,FALSE,Baboon
06090229.JPG,NPR2,April to June,09-Jun-17,June,0:25:16,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE,Unidentified
06130336.JPG,NPR2,April to June,13-Jun-17,June,10:44:25,Ok,FALSE,Sunny,FALSE,TRUE,13,FALSE,Mongoose
06140360.JPG,NPR2,April to June,14-Jun-17,June,9:58:48,Ok,FALSE,Sunny,FALSE,TRUE,8,FALSE,Steenbok
06160416.JPG,NPR2,April to June,16-Jun-17,June,15:31:55,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE,Baboon
06160426.JPG,NPR2,April to June,16-Jun-17,June,23:35:38,Dark,FALSE,Dark,FALSE,TRUE,5,FALSE,Unidentified
06170430.JPG,NPR2,April to June,17-Jun-17,June,2:01:17,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Unidentified
06190488.JPG,NPR2,April to June,19-Jun-17,June,11:16:13,Ok,FALSE,Sunny,FALSE,TRUE,16,FALSE,Cattle
06200513.JPG,NPR2,April to June,20-Jun-17,June,11:52:32,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE,Steenbok
06230579.JPG,NPR2,April to June,23-Jun-17,June,3:44:26,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE,Unidentified
06230587.JPG,NPR2,April to June,23-Jun-17,June,10:23:05,Ok,FALSE,Sunny,FALSE,TRUE,5,FALSE,Steenbok
06250638.JPG,NPR2,April to June,25-Jun-17,June,12:00:44,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE,Baboon
