Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
Jackal,NPR1,14-Dec-17,19:05:49,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE
Baboon,NPR1,18-Dec-17,17:28:19,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE
Baboon,NPR1,19-Dec-17,11:13:30,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE
Baboon,NPR1,19-Dec-17,12:51:58,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE
Baboon,NPR1,19-Dec-17,15:20:21,Ok,FALSE,Sunny,TRUE,TRUE,35,FALSE
Baboon,NPR1,20-Dec-17,16:02:38,Ok,FALSE,Sunny,TRUE,TRUE,42,FALSE
Baboon,NPR1,21-Dec-17,18:27:20,Ok,FALSE,Sunny,TRUE,TRUE,27,FALSE
Cattle,NPR1,31-Dec-17,9:46:39,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE
Cattle,NPR1,31-Dec-17,11:01:56,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE
Cattle,NPR1,31-Dec-17,12:36:01,Ok,FALSE,Sunny,TRUE,TRUE,38,FALSE
Cattle,NPR1,31-Dec-17,13:36:56,Ok,FALSE,Sunny,TRUE,TRUE,37,FALSE
Baboon,NPR1,08-Jan-18,15:35:49,Ok,FALSE,Sunny,TRUE,TRUE,33,FALSE
Baboon,NPR1,10-Jan-18,13:53:38,Ok,FALSE,Sunny,TRUE,TRUE,33,FALSE
Porcupine,NPR1,12-Jan-18,22:55:38,Dark,FALSE,Shade,TRUE,TRUE,22,FALSE
Cattle,NPR1,15-Jan-18,10:38:50,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE
Cattle,NPR1,15-Jan-18,12:06:36,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE
Cattle,NPR1,15-Jan-18,13:07:56,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE
Cattle,NPR1,15-Jan-18,14:24:41,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE
Cattle,NPR1,15-Jan-18,15:38:50,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE
Cattle,NPR1,15-Jan-18,20:33:11,Dark,FALSE,Dark,TRUE,TRUE,20,FALSE
Jackal,NPR1,16-Jan-18,6:20:38,Ok,FALSE,Sunny,TRUE,TRUE,13,FALSE
Jackal,NPR1,04-Feb-18,21:58:21,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE
Cattle,NPR1,06-Feb-18,17:22:40,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE
Cattle,NPR1,08-Feb-18,13:45:08,Ok,FALSE,Shade,TRUE,TRUE,38,FALSE
Jackal,NPR1,08-Feb-18,7:01:26,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE
Jackal,NPR1,08-Feb-18,17:11:13,Ok,FALSE,Shade,TRUE,TRUE,37,FALSE
Cattle,NPR1,10-Feb-18,13:06:53,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE
Cattle,NPR1,10-Feb-18,15:13:48,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE
Cattle,NPR1,11-Feb-18,8:26:43,Ok,FALSE,Sunny,TRUE,TRUE,17,FALSE
Cattle,NPR1,11-Feb-18,10:07:33,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE
Cattle,NPR1,11-Feb-18,11:18:17,Ok,FALSE,Sunny,TRUE,TRUE,25,FALSE
Cattle,NPR1,11-Feb-18,12:27:02,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE
Cattle,NPR1,11-Feb-18,15:00:27,Ok,FALSE,Sunny,TRUE,TRUE,33,FALSE
Cattle,NPR1,12-Feb-18,10:56:35,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE
Cattle,NPR1,12-Feb-18,14:04:38,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE
Cattle,NPR1,12-Feb-18,15:36:44,Ok,FALSE,Shade,TRUE,TRUE,32,FALSE
Baboon,NPR1,13-Feb-18,17:09:55,Dark,FALSE,Shade,TRUE,TRUE,38,FALSE
Baboon,NPR1,15-Feb-18,18:41:15,Ok,FALSE,Shade,TRUE,TRUE,25,FALSE
Jackal,NPR1,18-Feb-18,5:58:18,Dark,FALSE,Dark,TRUE,TRUE,17,FALSE
Eland,NPR1,19-Feb-18,2:53:04,Dark,FALSE,Dark,TRUE,TRUE,17,FALSE
Baboon,NPR1,20-Feb-18,16:57:38,Dark,FALSE,Shade,TRUE,TRUE,36,FALSE
Baboon,NPR1,22-Feb-18,16:05:05,Ok,FALSE,Sunny,TRUE,TRUE,41,FALSE
Jackal,NPR1,28-Feb-18,8:42:56,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE
Kudu,NPR1,28-Feb-18,19:14:17,Ok,FALSE,Shade,TRUE,TRUE,22,FALSE
Baboon,NPR1,04-Mar-18,6:49:17,Ok,FALSE,Shade,TRUE,TRUE,12,FALSE
