Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
Steenbok,NPR3,20-Apr-17,22:42:00,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
African Wild Cat,NPR3,26-Apr-17,8:41:51,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE
Cattle,NPR3,05-May-17,17:11:50,Ok,FALSE,Sunny,FALSE,TRUE,25,FALSE
Eland,NPR3,08-May-17,19:19:22,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Cattle,NPR3,16-May-17,16:36:44,Dark,FALSE,Shade,FALSE,TRUE,36,FALSE
Eland,NPR3,23-May-17,22:42:30,Dark,FALSE,Dark,FALSE,TRUE,21,FALSE
Baboon,NPR3,09-Jun-17,15:50:26,Ok,FALSE,Sunny,FALSE,TRUE,13,FALSE
Steenbok,NPR3,13-Jun-17,9:22:40,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE
African Wild Cat,NPR3,17-Jun-17,15:48:26,Ok,FALSE,Shade,FALSE,TRUE,23,FALSE
Baboon,NPR3,24-Jun-17,12:04:03,Ok,FALSE,Sunny,FALSE,TRUE,16,FALSE
Baboon,NPR3,24-Jun-17,15:55:20,Ok,FALSE,Shade,FALSE,TRUE,23,FALSE
Jackal,NPR3,27-Jun-17,22:08:41,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Jackal,NPR3,28-Jun-17,0:45:49,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE
Steenbok,NPR3,29-Jun-17,10:05:32,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE
Baboon,NPR3,08-Jul-17,10:39:52,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE
Caracal,NPR3,17-Jul-17,2:01:56,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE
Cattle,NPR3,24-Jul-17,10:55:55,Ok,FALSE,Sunny,FALSE,TRUE,17,FALSE
Cattle,NPR3,30-Jul-17,10:03:37,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE
Steenbok,NPR3,19-Aug-17,9:03:06,Ok,FALSE,Sunny,FALSE,TRUE,7,FALSE
Steenbok,NPR3,23-Aug-17,9:19:16,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE
Baboon,NPR3,10-Sep-17,9:52:56,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE
