Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
African Wild Cat,NPR3,26-Apr-17,8:41:51,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE
African Wild Cat,NPR3,17-Jun-17,15:48:26,Ok,FALSE,Shade,FALSE,TRUE,23,FALSE
Baboon,NPR3,09-Jun-17,15:50:26,Ok,FALSE,Sunny,FALSE,TRUE,13,FALSE
Baboon,NPR3,24-Jun-17,12:04:03,Ok,FALSE,Sunny,FALSE,TRUE,16,FALSE
Baboon,NPR3,24-Jun-17,15:55:20,Ok,FALSE,Shade,FALSE,TRUE,23,FALSE
Cattle,NPR3,05-May-17,17:11:50,Ok,FALSE,Sunny,FALSE,TRUE,25,FALSE
Cattle,NPR3,16-May-17,16:36:44,Dark,FALSE,Shade,FALSE,TRUE,36,FALSE
Eland,NPR3,08-May-17,19:19:22,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Eland,NPR3,23-May-17,22:42:30,Dark,FALSE,Dark,FALSE,TRUE,21,FALSE
Jackal,NPR3,27-Jun-17,22:08:41,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Jackal,NPR3,28-Jun-17,0:45:49,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE
Steenbok,NPR3,20-Apr-17,22:42:00,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
Steenbok,NPR3,13-Jun-17,9:22:40,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE
