File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,Method
01280772.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-18,7:16:56,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Baboon,TRUE
01280773.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-18,8:00:02,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Cattle,FALSE
01280774.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-18,8:00:16,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Cattle,TRUE
01280780.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-18,11:20:56,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE,Cattle,TRUE
01280782.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-18,12:26:20,Ok,FALSE,Sunny,TRUE,TRUE,35,FALSE,Baboon,TRUE
01280783.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-18,13:00:02,Ok,FALSE,Sunny,TRUE,TRUE,37,FALSE,Baboon,FALSE
01280784.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-18,13:00:21,Ok,FALSE,Sunny,TRUE,TRUE,37,FALSE,Baboon,TRUE
01280784.JPG,NPR2-2017-11-21-end\101EK113,NPR2,28-Jan-18,13:00:22,Ok,FALSE,Sunny,TRUE,TRUE,37,FALSE,Cattle,TRUE
01290806.JPG,NPR2-2017-11-21-end\101EK113,NPR2,29-Jan-18,10:01:47,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE,Cattle,TRUE
01290810.JPG,NPR2-2017-11-21-end\101EK113,NPR2,29-Jan-18,13:08:51,Ok,FALSE,Sunny,TRUE,TRUE,45,FALSE,Cattle,TRUE
