File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,
04200001.JPG,NPR2,April to June,20-Apr-2017,12:21:52,Ok,FALSE,Sunny,FALSE,FALSE,37,true,Human,
04200002.JPG,NPR2,April to June,20-Apr-2017,12:22:19,Ok,FALSE,Sunny,FALSE,FALSE,37,true,Human,
04200003.JPG,NPR2,April to June,20-Apr-2017,13:00:01,Ok,FALSE,Sunny,FALSE,FALSE,31,FALSE,,
04200004.JPG,NPR2,April to June,20-Apr-2017,14:00:01,Ok,FALSE,Sunny,FALSE,FALSE,33,FALSE,,
04200005.JPG,NPR2,April to June,20-Apr-2017,15:00:01,Ok,FALSE,Sunny,FALSE,FALSE,33,FALSE,,
04200006.JPG,NPR2,April to June,20-Apr-2017,16:00:01,Ok,FALSE,Sunny,FALSE,FALSE,31,FALSE,,
04200007.JPG,NPR2,April to June,20-Apr-2017,17:00:02,Ok,FALSE,Shade,FALSE,FALSE,27,FALSE,,
04200008.JPG,NPR2,April to June,20-Apr-2017,18:00:02,Ok,FALSE,Shade,FALSE,FALSE,23,FALSE,,
04200009.JPG,NPR2,April to June,20-Apr-2017,19:00:02,Dark,FALSE,Dark,FALSE,FALSE,20,FALSE,,
04200010.JPG,NPR2,April to June,20-Apr-2017,20:00:01,Dark,FALSE,Dark,FALSE,FALSE,15,FALSE,,
04200011.JPG,NPR2,April to June,20-Apr-2017,21:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,
04200012.JPG,NPR2,April to June,20-Apr-2017,22:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
04200013.JPG,NPR2,April to June,20-Apr-2017,23:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
04200014.JPG,NPR2,April to June,20-Apr-2017,23:49:52,Dark,FALSE,Dark,FALSE,true,10,FALSE,Unidentified,
04210015.JPG,NPR2,April to June,21-Apr-2017,00:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
